DBN,School Name,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Others,% Others,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M015,P.S. 015 Roberto Clemente,67,607,8,11.9,20,29.9,22,32.8,17,25.4,39,58.2,190,17,28,32,33,23,31,26,0,0,0,0,0,0,0,99,0.521,91,0.479,20,0.105,52,0.27399999999999997,110,0.579,2,0.011000000000000001,6,0.032,49,0.258,8,0.042,161,0.847,0.89
01M019,P.S. 019 Asher Levy,89,603,21,23.6,16,18.0,26,29.2,26,29.2,52,58.4,257,13,34,38,42,46,42,42,0,0,0,0,0,0,0,114,0.444,143,0.556,23,0.08900000000000001,49,0.191,166,0.6459999999999999,3,0.012,16,0.062,90,0.35,8,0.031,198,0.77,0.679
01M020,P.S. 020 Anna Silver,212,593,88,41.5,49,23.1,38,17.9,37,17.5,75,35.4,497,34,71,82,69,89,83,69,0,0,0,0,0,0,0,244,0.491,253,0.509,147,0.29600000000000004,51,0.10300000000000001,264,0.531,19,0.038,16,0.032,118,0.237,86,0.17300000000000001,366,0.736,0.8
01M034,P.S. 034 Franklin D. Roosevelt,221,588,121,54.8,65,29.4,24,10.9,11,5.0,35,15.8,333,13,25,18,22,47,35,36,38,41,58,0,0,0,0,150,0.45,183,0.55,11,0.033,106,0.318,204,0.613,3,0.009000000000000001,9,0.027000000000000003,124,0.37200000000000005,25,0.075,326,0.9790000000000001,0.937
01M063,The STAR Academy - P.S.63,64,602,12,18.8,15,23.4,24,37.5,13,20.3,37,57.8,203,26,40,29,36,22,23,27,0,0,0,0,0,0,0,100,0.493,103,0.507,6,0.03,37,0.182,128,0.631,8,0.039,24,0.11800000000000001,67,0.33,2,0.01,166,0.818,0.762
01M064,P.S. 064 Robert Simon,86,592,37,43.0,21,24.4,18,20.9,10,11.6,28,32.6,245,35,27,44,37,30,36,36,0,0,0,0,0,0,0,101,0.41200000000000003,144,0.588,11,0.045,51,0.20800000000000002,167,0.682,3,0.012,13,0.053,73,0.298,5,0.02,226,0.922,0.882
01M110,P.S. 110 Florence Nightingale,168,615,21,12.5,17,10.1,33,19.6,97,57.7,130,77.4,379,30,64,52,55,48,57,73,0,0,0,0,0,0,0,166,0.43799999999999994,213,0.562,64,0.16899999999999998,37,0.098,168,0.44299999999999995,11,0.028999999999999998,99,0.261,48,0.127,14,0.037000000000000005,237,0.625,0.58
01M134,P.S. 134 Henrietta Szold,145,588,76,52.4,20,13.8,35,24.1,14,9.7,49,33.8,297,20,36,27,47,52,57,58,0,0,0,0,0,0,0,131,0.441,166,0.5589999999999999,33,0.111,64,0.215,182,0.613,7,0.024,11,0.037000000000000005,124,0.418,26,0.08800000000000001,273,0.919,0.9009999999999999
01M140,P.S. 140 Nathan Straus,221,588,119,53.8,63,28.5,31,14.0,8,3.6,39,17.6,371,18,28,29,24,24,28,29,60,65,66,0,0,0,0,182,0.491,189,0.509,21,0.057,46,0.124,292,0.787,2,0.005,10,0.027000000000000003,122,0.32899999999999996,36,0.09699999999999999,328,0.884,0.9129999999999999
01M142,P.S. 142 Amalia Castro,96,590,36,37.5,30,31.3,26,27.1,4,4.2,30,31.3,340,32,68,56,49,44,50,41,0,0,0,0,0,0,0,152,0.447,188,0.5529999999999999,8,0.024,43,0.126,281,0.826,7,0.021,1,0.003,127,0.374,27,0.079,332,0.976,0.9109999999999999
01M184,P.S. 184m Shuang Wen,427,618,25,5.9,56,13.1,104,24.4,242,56.7,346,81.0,684,35,72,69,54,72,65,53,94,83,87,0,0,0,0,341,0.499,343,0.501,475,0.6940000000000001,25,0.037000000000000005,92,0.135,42,0.061,50,0.073,113,0.165,103,0.151,465,0.68,0.653
01M188,P.S. 188 The Island School,265,596,81,30.6,104,39.2,65,24.5,15,5.7,80,30.2,433,19,37,40,43,43,47,42,47,55,60,0,0,0,0,185,0.42700000000000005,248,0.573,8,0.018000000000000002,127,0.293,286,0.6609999999999999,0,0.0,12,0.027999999999999997,135,0.312,69,0.159,399,0.9209999999999999,0.9540000000000001
01M315,The East Village Community School,107,609,8,7.5,27,25.2,33,30.8,39,36.4,72,67.3,318,36,46,50,50,48,40,48,0,0,0,0,0,0,0,161,0.506,157,0.494,32,0.10099999999999999,17,0.053,64,0.201,22,0.069,183,0.575,56,0.17600000000000002,4,0.013000000000000001,86,0.27,0.369
01M332,University Neighborhood Middle School,168,584,112,66.7,35,20.8,13,7.7,8,4.8,21,12.5,203,0,0,0,0,0,0,0,69,65,69,0,0,0,0,88,0.433,115,0.5670000000000001,18,0.08900000000000001,47,0.23199999999999998,128,0.631,2,0.01,8,0.039,89,0.43799999999999994,11,0.054000000000000006,180,0.887,0.848
01M361,The Children's Workshop School,90,602,15,16.7,25,27.8,35,38.9,15,16.7,50,55.6,315,36,57,61,48,46,35,32,0,0,0,0,0,0,0,146,0.46299999999999997,169,0.537,31,0.098,29,0.092,124,0.39399999999999996,20,0.063,111,0.35200000000000004,73,0.23199999999999998,9,0.028999999999999998,144,0.457,0.505
01M363,Neighborhood School,31,596,9,29.0,7,22.6,10,32.3,5,16.1,15,48.4,304,18,56,50,49,51,43,37,0,0,0,0,0,0,0,149,0.49,155,0.51,19,0.063,28,0.092,106,0.349,11,0.036000000000000004,140,0.461,69,0.22699999999999998,10,0.033,133,0.43799999999999994,0.478
01M364,Earth School,38,590,21,55.3,10,26.3,4,10.5,3,7.9,7,18.4,355,35,62,53,47,55,51,52,0,0,0,0,0,0,0,161,0.45399999999999996,194,0.546,24,0.068,40,0.113,139,0.392,31,0.087,121,0.341,103,0.29,21,0.059000000000000004,194,0.546,0.5539999999999999
01M378,School for Global Leaders,211,596,92,43.6,61,28.9,24,11.4,34,16.1,58,27.5,256,0,0,0,0,0,0,0,70,90,96,0,0,0,0,111,0.434,145,0.5660000000000001,35,0.13699999999999998,70,0.273,145,0.5660000000000001,2,0.008,4,0.016,100,0.391,23,0.09,212,0.828,0.853
01M450,East Side Community School,217,603,42,19.4,66,30.4,73,33.6,36,16.6,109,50.2,683,0,0,0,0,0,0,0,99,105,94,95,100,93,97,317,0.46399999999999997,366,0.536,81,0.11900000000000001,113,0.165,367,0.537,22,0.032,100,0.146,182,0.266,6,0.009000000000000001,447,0.654,0.629
01M539,"New Explorations into Science, Technology and Math",595,628,3,0.5,15,2.5,100,16.8,477,80.2,577,97.0,1734,0,100,116,149,122,116,112,152,149,136,145,163,146,128,831,0.479,903,0.521,575,0.332,134,0.077,204,0.11800000000000001,129,0.07400000000000001,692,0.39899999999999997,140,0.081,14,0.008,415,0.239,0.282
01M839,Tompkins Square Middle School,247,602,71,28.7,54,21.9,66,26.7,56,22.7,122,49.4,373,0,0,0,0,0,0,0,125,122,126,0,0,0,0,198,0.531,175,0.469,86,0.231,51,0.13699999999999998,144,0.386,14,0.038,78,0.209,103,0.276,8,0.021,259,0.6940000000000001,0.68
02M001,P.S. 001 Alfred E. Smith,146,603,39,26.7,27,18.5,26,17.8,54,37.0,80,54.8,318,24,44,51,46,47,55,51,0,0,0,0,0,0,0,158,0.49700000000000005,160,0.503,170,0.535,56,0.17600000000000002,82,0.258,4,0.013000000000000001,6,0.019,90,0.28300000000000003,64,0.201,257,0.8079999999999999,0.843
